"filename", "language", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/CourseController.java", "Java", 89, 0, 0, 8, 26, 123
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/MainAppController.java", "Java", 15, 0, 0, 0, 4, 19
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/ProfessorController.java", "Java", 35, 0, 0, 0, 8, 43
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/StudentController.java", "Java", 86, 0, 0, 0, 20, 106
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms/src/main/java/com/qrams/controllers/UserController.java", "Java", 74, 0, 0, 3, 16, 93
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/AdminDashboard.js", "JavaScript", 0, -13, 0, 0, -6, -19
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/CourseList.css", "CSS", 0, 0, -24, 0, -5, -29
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/CourseList.js", "JavaScript", 0, -34, 0, -1, -5, -40
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Footer.css", "CSS", 0, 0, -30, -1, -7, -38
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Footer.js", "JavaScript", 0, -16, 0, -1, -4, -21
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Header.css", "CSS", 0, 0, -46, -1, -10, -57
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Header.js", "JavaScript", 0, -36, 0, -1, -6, -43
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/HomePage.js", "JavaScript", 0, -40, 0, -11, -9, -60
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/Layout.js", "JavaScript", 0, -93, 0, -8, -8, -109
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/LoginPage.css", "CSS", 0, 0, -70, -3, -13, -86
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/LoginPage.js", "JavaScript", 0, -141, 0, -7, -17, -165
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/MarkAttendance.js", "JavaScript", 0, -52, 0, -6, -10, -68
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/MarkAttendanceForm.js", "JavaScript", 0, -159, 0, 0, -18, -177
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ProfessorDashboard.js", "JavaScript", 0, -146, 0, 0, -11, -157
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/QRCodeGenerator.css", "CSS", 0, 0, -26, 0, -4, -30
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/QRCodeGenerator.js", "JavaScript", 0, -81, 0, -6, -10, -97
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/StudentDashboard.js", "JavaScript", 0, -81, 0, 0, -9, -90
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/SubmissionDetails.css", "CSS", 0, 0, -103, -4, -24, -131
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/SubmissionDetails.js", "JavaScript", 0, -46, 0, -5, -14, -65
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ViewAttendance.css", "CSS", 0, 0, -29, -2, -7, -38
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ViewAttendance.js", "JavaScript", 0, -238, 0, -17, -27, -282
"/Users/vanshikasharma/Desktop/BITS/OOAD/qr_attendance_management_system/qrms_frontend/attendance-app/src/components/ViewAttendanceStudent.js", "JavaScript", 0, -251, 0, -19, -31, -301
"Total", "-", 299, -1427, -328, -82, -181, -1719